,time,handle_x,text_x,handle_y,text_y
111,2016-04-27,russian,9,realDonaldTrump,15
112,2016-04-29,russian,16,HillaryClinton,13
113,2016-04-29,russian,16,realDonaldTrump,9
114,2016-04-30,russian,36,HillaryClinton,7
115,2016-04-30,russian,36,realDonaldTrump,6
116,2016-05-01,russian,2,HillaryClinton,7
117,2016-05-01,russian,2,realDonaldTrump,9
118,2016-05-02,russian,12,HillaryClinton,19
119,2016-05-02,russian,12,realDonaldTrump,12
120,2016-05-03,russian,38,HillaryClinton,20
121,2016-05-03,russian,38,realDonaldTrump,12
122,2016-05-04,russian,31,HillaryClinton,17
123,2016-05-04,russian,31,realDonaldTrump,7
124,2016-05-05,russian,3,HillaryClinton,20
125,2016-05-05,russian,3,realDonaldTrump,5
126,2016-05-06,russian,1,HillaryClinton,10
127,2016-05-06,russian,1,realDonaldTrump,15
128,2016-05-07,russian,205,HillaryClinton,8
129,2016-05-07,russian,205,realDonaldTrump,8
130,2016-05-08,russian,357,HillaryClinton,5
131,2016-05-08,russian,357,realDonaldTrump,7
132,2016-05-11,russian,37,HillaryClinton,13
133,2016-05-11,russian,37,realDonaldTrump,16
134,2016-05-12,russian,281,HillaryClinton,14
135,2016-05-12,russian,281,realDonaldTrump,2
136,2016-05-13,russian,1,HillaryClinton,11
137,2016-05-13,russian,1,realDonaldTrump,3
138,2016-05-14,russian,13,HillaryClinton,5
139,2016-05-14,russian,13,realDonaldTrump,3
140,2016-05-15,russian,165,HillaryClinton,3
141,2016-05-15,russian,165,realDonaldTrump,14
142,2016-05-16,russian,57,HillaryClinton,10
143,2016-05-16,russian,57,realDonaldTrump,14
144,2016-05-17,russian,1,HillaryClinton,11
145,2016-05-17,russian,1,realDonaldTrump,18
146,2016-05-18,russian,2,HillaryClinton,13
147,2016-05-18,russian,2,realDonaldTrump,45
148,2016-05-19,russian,50,HillaryClinton,22
149,2016-05-19,russian,50,realDonaldTrump,5
150,2016-05-20,russian,35,HillaryClinton,18
151,2016-05-20,russian,35,realDonaldTrump,15
152,2016-05-22,russian,17,HillaryClinton,6
153,2016-05-22,russian,17,realDonaldTrump,11
154,2016-05-23,russian,116,HillaryClinton,13
155,2016-05-23,russian,116,realDonaldTrump,4
156,2016-05-24,russian,36,HillaryClinton,17
157,2016-05-24,russian,36,realDonaldTrump,10
158,2016-05-25,russian,12,HillaryClinton,15
159,2016-05-25,russian,12,realDonaldTrump,18
160,2016-05-26,russian,6,HillaryClinton,17
161,2016-05-26,russian,6,realDonaldTrump,8
162,2016-05-27,russian,49,HillaryClinton,8
163,2016-05-27,russian,49,realDonaldTrump,5
164,2016-05-28,russian,204,HillaryClinton,4
165,2016-05-28,russian,204,realDonaldTrump,11
166,2016-05-29,russian,67,HillaryClinton,4
167,2016-05-29,russian,67,realDonaldTrump,6
168,2016-05-30,russian,92,HillaryClinton,4
169,2016-05-30,russian,92,realDonaldTrump,13
170,2016-05-31,russian,52,HillaryClinton,12
171,2016-05-31,russian,52,realDonaldTrump,9
172,2016-06-01,russian,60,HillaryClinton,20
173,2016-06-01,russian,60,realDonaldTrump,3
174,2016-06-02,russian,5,HillaryClinton,21
175,2016-06-02,russian,5,realDonaldTrump,21
176,2016-06-03,russian,15,HillaryClinton,19
177,2016-06-03,russian,15,realDonaldTrump,20
178,2016-06-04,russian,34,HillaryClinton,16
179,2016-06-04,russian,34,realDonaldTrump,9
180,2016-06-05,russian,10,HillaryClinton,10
181,2016-06-05,russian,10,realDonaldTrump,3
182,2016-06-06,russian,4,HillaryClinton,10
183,2016-06-06,russian,4,realDonaldTrump,10
184,2016-06-07,russian,9,HillaryClinton,15
185,2016-06-07,russian,9,realDonaldTrump,4
186,2016-06-08,russian,91,HillaryClinton,36
187,2016-06-08,russian,91,realDonaldTrump,18
188,2016-06-09,russian,45,HillaryClinton,20
189,2016-06-09,russian,45,realDonaldTrump,13
190,2016-06-10,russian,5,HillaryClinton,25
191,2016-06-10,russian,5,realDonaldTrump,14
192,2016-06-11,russian,7,HillaryClinton,10
193,2016-06-11,russian,7,realDonaldTrump,11
194,2016-06-12,russian,46,HillaryClinton,11
195,2016-06-12,russian,46,realDonaldTrump,8
196,2016-06-13,russian,48,HillaryClinton,18
197,2016-06-13,russian,48,realDonaldTrump,12
198,2016-06-15,russian,13,HillaryClinton,16
199,2016-06-15,russian,13,realDonaldTrump,9
200,2016-06-16,russian,55,HillaryClinton,12
201,2016-06-16,russian,55,realDonaldTrump,7
202,2016-06-17,russian,40,HillaryClinton,10
203,2016-06-17,russian,40,realDonaldTrump,12
204,2016-06-18,russian,4,HillaryClinton,7
205,2016-06-18,russian,4,realDonaldTrump,5
206,2016-06-19,russian,16,HillaryClinton,10
207,2016-06-19,russian,16,realDonaldTrump,6
208,2016-06-20,russian,201,HillaryClinton,11
209,2016-06-20,russian,201,realDonaldTrump,2
210,2016-06-21,russian,66,HillaryClinton,31
211,2016-06-21,russian,66,realDonaldTrump,12
212,2016-06-22,russian,2,HillaryClinton,28
213,2016-06-22,russian,2,realDonaldTrump,5
214,2016-06-23,russian,29,HillaryClinton,21
215,2016-06-23,russian,29,realDonaldTrump,18
216,2016-06-24,russian,42,HillaryClinton,13
217,2016-06-24,russian,42,realDonaldTrump,14
218,2016-06-25,russian,55,HillaryClinton,7
219,2016-06-25,russian,55,realDonaldTrump,5
220,2016-06-26,russian,1,HillaryClinton,21
221,2016-06-26,russian,1,realDonaldTrump,17
222,2016-06-27,russian,17,HillaryClinton,31
223,2016-06-27,russian,17,realDonaldTrump,6
224,2016-06-28,russian,48,HillaryClinton,16
225,2016-06-28,russian,48,realDonaldTrump,11
226,2016-06-29,russian,72,HillaryClinton,16
227,2016-06-29,russian,72,realDonaldTrump,9
228,2016-06-30,russian,7,HillaryClinton,13
229,2016-06-30,russian,7,realDonaldTrump,12
230,2016-07-01,russian,16,HillaryClinton,9
231,2016-07-01,russian,16,realDonaldTrump,10
232,2016-07-02,russian,39,HillaryClinton,5
233,2016-07-02,russian,39,realDonaldTrump,14
234,2016-07-03,russian,15,HillaryClinton,6
235,2016-07-03,russian,15,realDonaldTrump,8
236,2016-07-04,russian,5,HillaryClinton,6
237,2016-07-04,russian,5,realDonaldTrump,13
238,2016-07-05,russian,43,HillaryClinton,31
239,2016-07-05,russian,43,realDonaldTrump,5
240,2016-07-06,russian,41,HillaryClinton,28
241,2016-07-06,russian,41,realDonaldTrump,16
242,2016-07-07,russian,209,HillaryClinton,10
243,2016-07-07,russian,209,realDonaldTrump,6
244,2016-07-08,russian,8,HillaryClinton,18
